dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.92,0.83,0.84,0.85,0.83,0.87,0.76,0.84,0.74,0.8,0.84,0.89,0.83,0.81,0.86,0.85,0.84,0.83,0.85,0.74,0.79,0.78,0.8,0.8,0.83,0.85,0.76,0.76,0.8,0.88
Adiac,0.818414,0.803069,0.772379,0.780051,0.828645,0.800512,0.790281,0.803069,0.797954,0.795396,0.792839,0.808184,0.774936,0.797954,0.808184,0.810742,0.792839,0.787724,0.797954,0.808184,0.800512,0.800512,0.813299,0.813299,0.795396,0.818414,0.805627,0.803069,0.828645,0.803069
ArrowHead,0.862857,0.857143,0.897143,0.897143,0.885714,0.857143,0.908571,0.891429,0.88,0.891429,0.845714,0.885714,0.777143,0.908571,0.897143,0.862857,0.817143,0.897143,0.897143,0.88,0.902857,0.902857,0.828571,0.885714,0.914286,0.897143,0.925714,0.862857,0.92,0.891429
BME,1.0,0.986667,0.993333,1.0,1.0,1.0,1.0,0.986667,1.0,0.98,0.993333,1.0,1.0,0.993333,0.98,0.993333,0.993333,0.993333,1.0,1.0,1.0,0.986667,0.986667,0.98,0.993333,0.993333,0.993333,0.973333,0.973333,0.993333
Beef,0.866667,0.766667,0.766667,0.7,0.9,0.666667,0.833333,0.733333,0.9,0.733333,0.7,0.766667,0.866667,0.6,0.9,0.7,0.733333,0.733333,0.633333,0.8,0.733333,0.833333,0.8,0.833333,0.7,0.6,0.766667,0.9,0.666667,0.7
BeetleFly,0.85,0.95,0.8,0.9,1.0,0.95,1.0,0.9,0.85,0.95,0.9,0.95,0.8,0.85,0.75,0.95,0.95,0.95,0.95,0.9,0.9,0.95,0.85,0.95,0.85,1.0,0.9,0.9,0.8,1.0
BirdChicken,0.9,0.9,0.8,0.95,0.9,0.85,0.9,0.8,0.8,0.9,0.85,0.95,0.95,0.9,0.9,1.0,0.85,0.95,0.9,1.0,0.85,1.0,0.95,0.95,0.85,0.95,0.95,0.95,0.95,0.9
CBF,0.998889,0.998889,0.968889,0.997778,1.0,0.99,0.998889,0.997778,0.997778,1.0,0.994444,0.998889,0.997778,0.998889,0.997778,1.0,0.998889,0.991111,0.995556,0.996667,0.976667,0.998889,1.0,1.0,0.998889,0.998889,1.0,0.998889,0.996667,0.998889
Car,0.916667,0.916667,0.95,0.95,0.883333,0.916667,0.866667,0.933333,0.933333,0.9,0.9,0.916667,0.95,0.966667,0.916667,0.85,0.933333,0.9,0.883333,0.95,0.883333,0.933333,0.983333,0.916667,0.933333,0.933333,0.95,0.933333,0.916667,0.916667
Chinatown,0.982507,0.973761,0.979592,0.970845,0.962099,0.962099,0.96793,0.953353,0.979592,0.965015,0.973761,0.965015,0.982507,0.976676,0.976676,0.96793,0.962099,0.96793,0.973761,0.956268,0.959184,0.973761,0.959184,0.959184,0.959184,0.970845,0.976676,0.973761,0.976676,0.962099
